second.date,Like,Partner,Age,Attractiveness,Sincerity,Intelligence,Fun,Ambitious,SharedInterests,RaceM,RaceF
0,7,6,24,8,9,7,8,5,4,Caucasian,Caucasian
1,7,5,25,7,10,8,8,8,3,Asian,Latino
0,4,4,27,5,7,7,5,5,5,Asian,Caucasian
0,10,1,22,10,10,10,10,10,10,Other,Caucasian
0,7,8,22,8,7,6,5,5,5,Asian,Caucasian
0,5,7,21,5,8,8,6,7,5,Caucasian,Black
1,7,8,22,7,7,7,7,5,5,Caucasian,Caucasian
1,9,8,21,10,9,8,9,9,7,Caucasian,Other
1,9,5,20,9,6,8,6,6,6,Asian,Latino
0,7,6,26,6,10,10,6,7,5,Asian,Asian
0,7,7,28,8,7,7,7,7,8,Latino,Caucasian
0,9,5,23,10,8,8,7,7,5,Caucasian,Caucasian
1,6,8,29,8,10,9,8,8,7,Black,Asian
0,5,3,22,7,9,10,8,8,4,Caucasian,Black
0,6,3,27,5,6,7,7,6,5,Asian,Caucasian
1,8,5,26,8,10,8,8,8,6,Caucasian,Asian
1,10,10,27,9,10,10,8,8,8,Caucasian,Caucasian
1,7,4,30,8,9,10,5,9,5,Caucasian,Asian
0,9,9,23,8,8,8,8,8,8,Asian,Caucasian
0,8,9,28,9,8,8,8,8,8,Caucasian,Caucasian
0,7,6,28,8,7,7,8,7,5,Asian,Caucasian
0,4,5,27,4,7,8,5,6,4,Caucasian,Caucasian
0,7,6,22,7,8,8,8,8,7,Caucasian,Asian
1,10,7,34,10,10,10,10,10,10,Caucasian,Caucasian
0,2,8,25,3,8,8,4,7,6,Asian,Asian
0,4,2,24,5,5,7,8,5,2,Asian,Caucasian
0,6,2,21,8,8,5,8,5,8,Caucasian,Asian
0,5,7,28,5,9,8,7,8,8,Caucasian,Other
0,7,9,24,7,7,8,8,6,4,Caucasian,Latino
1,8,7,25,8,10,8,6,9,9,Asian,Black
1,6,6,23,7,8,8,7,9,5,Caucasian,Asian
0,7,6,26,7,9,9,6,7,4,Asian,Other
0,7,5,27,5,10,8,7,5,5,Caucasian,Black
1,8,8,26,6,10,8,8,6,6,Caucasian,Latino
0,5,5,24,4,4,6,6,6,5,Caucasian,Caucasian
0,7,7,25,8,8,8,9,8,8,Other,Asian
0,6,3,27,6,5,6,6,7,3,Asian,Caucasian
0,6,5,27,6,4,7,7,8,2,Caucasian,Caucasian
0,8,7,28,8,10,9,9,9,6,Latino,Black
1,9,7,26,8,8,7,9,8,8,Caucasian,Caucasian
1,7,7,28,8,9,7,9,5,5,Caucasian,Caucasian
0,3,3,42,5,8,8,7,7,3,Caucasian,Caucasian
0,6,6,30,7,7,7,6,7,5,Latino,Latino
0,8,6,31,8,9,8,8,8,7,Caucasian,Caucasian
0,3,3,28,8,6,8,10,9,2,Caucasian,Asian
0,5,6,25,5,6,5,5,4,3,Asian,Asian
0,6,4,27,6,7,8,6,3,4,Other,Caucasian
0,5,6,25,5,10,6,7,7,4,Other,Other
0,5,7,21,5,8,7,7,5,6,Caucasian,Caucasian
1,7,7,26,7,9,8,7,5,5,Caucasian,Asian
0,5,2,32,5,5,5,3,5,5,Caucasian,Asian
0,7,3,25,7,9,5,7,6,5,Caucasian,Caucasian
0,6,3,25,6,6,6,5,4,5,Caucasian,Caucasian
0,8,6,27,10,8,8,8,5,5,Caucasian,Latino
0,7,2,23,7,7,7,0,7,0,Black,Caucasian
1,6,9,27,8,8,9,9,9,9,Asian,Caucasian
1,4.5,8,24,5,5,5,4,4,4,Other,Asian
0,5,5,22,8,7,8,7,5,8,Caucasian,Black
0,7,6,22,7,7,5,5,6,9,Asian,Asian
0,5,5,27,5,5,7,5,5,5,Caucasian,Caucasian
0,7,5,28,7,8,6,6,6,5,Asian,Caucasian
0,4,3,34,5,7,8,6,7,3,Caucasian,Asian
1,7,7,27,7,9,9,8,5,8,Asian,Caucasian
0,3,4,28,5,10,7,4,5,4,Black,Asian
0,6,7,28,5,8,7,8,6,7,Latino,Other
0,8,5,27,8,9,8,7,6,7,Asian,Asian
0,5,8,32,8,10,10,8,10,4,Caucasian,Caucasian
0,7,8,29,5,8,6,7,5,6,Asian,Asian
0,9,6,23,9,8,8,6,7,9,Caucasian,Caucasian
0,7,7,27,6,8,7,8,6,6,Caucasian,Caucasian
0,4,4,32,5,7,7,4,5,4,Other,Caucasian
0,9,5,27,9,8,10,7,7,7,Caucasian,Asian
1,7,7,25,5,8,7,8,5,5,Caucasian,Asian
0,4,7,30,4,8,7,4,6,2,Caucasian,Caucasian
0,7,1,29,7,7,7,6,7,6,Other,Caucasian
1,9,9,26,9,9,7,8,9,8,Caucasian,Caucasian
0,6,5,29,4,8,7,7,5,6,Caucasian,Asian
1,10,10,30,10,10,9,10,10,10,Asian,Caucasian
0,8,6,23,5,8,7,7,6,6,Caucasian,Latino
0,5,8,29,5,8,7,7,5,7,Asian,Caucasian
0,6,4,24,5,8,6,6,6,6,Caucasian,Caucasian
0,4,1,25,6,3,7,6,9,1,Latino,Asian
0,6,6,28,7,9,8,6,6,6,Caucasian,Caucasian
0,6,7,27,8,8,8,7,8,7,Other,Caucasian
1,9,7,27,9,9,9,9,9,7,Latino,Asian
0,5,5,30,3,8,6,6,5,2,Caucasian,Caucasian
0,6,6,27,6,8,7,6,5,5,Caucasian,Other
0,4,6,27,4,9,7,5,7,4,Caucasian,Other
1,6.5,6,24,7,8,7,8,7,6,Other,Caucasian
1,10,10,25,10,9,10,10,10,10,Caucasian,Caucasian
0,5,4,28,6,9,7,7,5,3,Caucasian,Asian
0,5,5,30,5,7,5,5,4,3,Asian,Caucasian
0,3,5,27,2,4,4,2,5,2,Caucasian,Caucasian
1,10,10,25,10,10,10,10,10,10,Asian,Asian
1,7,6,26,8,8,8,7,6,5,Asian,Latino
0,6,6,24,6,8,8,7,7,7,Caucasian,Black
0,5,2,22,5,7,7,4,4,2,Caucasian,Caucasian
1,8,4,23,7,7,7,5,5,5,Caucasian,Caucasian
0,10,5,24,10,10,10,10,10,10,Caucasian,Caucasian
0,7,8,24,7,6,8,7,7,6,Latino,Caucasian
1,8,7,23,7,9,8,8,7,6,Caucasian,Caucasian
1,7,3,27,7,8,8,4,5,8,Caucasian,Caucasian
0,6,7,34,6,9,8,7,4,5,Caucasian,Caucasian
0,7,7,26,6,8,6,6,6,5,Caucasian,Caucasian
0,5,5,31,5,5,5,5,5,5,Caucasian,Caucasian
0,7,5,30,6,9,6,6,6,4,Caucasian,Caucasian
0,8,6,24,7,7,8,8,8,7,Asian,Asian
0,8,6,28,5,8,9,8,7,6,Caucasian,Latino
0,4,6,24,3,8,5,4,2,7,Caucasian,Caucasian
0,8,8,28,6,10,9,8,8,9,Caucasian,Caucasian
0,7,7,27,7,9,9,9,7,6,Caucasian,Caucasian
0,4,5,21,6,9,8,9,8,8,Caucasian,Other
0,7,7,24,9,9,9,10,8,5,Caucasian,Caucasian
0,5,3,25,8,1,5,5,5,0,Caucasian,Caucasian
0,6,7,27,7,9,6,5,3,5,Latino,Caucasian
0,7,8,30,7,9,7,6,5,6,Caucasian,Caucasian
0,8,5,28,8,10,9,8,5,3,Latino,Caucasian
0,4,3,26,4,5,6,5,5,4,Asian,Caucasian
0,7,1,23,10,7,8,7,8,5,Other,Asian
0,7,6,25,8,7,7,7,5,5,Caucasian,Caucasian
0,6,4,30,6,6,5,6,5,4,Asian,Caucasian
0,8,7,29,8,9,7,8,6,7,Asian,Asian
0,4,4,27,5,5,5,4,5,4,Asian,Caucasian
0,9,10,33,5,10,8,8,7,7,Caucasian,Caucasian
0,5,6,27,5,5,7,6,6,7,Other,Asian
0,7,4,33,8,6,7,6,7,4,Asian,Asian
0,6,3,23,5,6,6,5,7,5,Asian,Asian
0,5,1,33,5,9,9,5,4,2,Asian,Asian
0,7,6,23,5,8,7,7,8,5,Caucasian,Latino
0,6,4,30,6,6,7,6,6,6,Caucasian,Caucasian
0,8,8,28,9,10,10,10,8,5,Caucasian,Caucasian
0,8,6,24,7,6,7,7,7,5,Asian,Black
1,8,5,29,8,8,8,8,8,8,Asian,Asian
1,7,8,28,6,8,9,7,8,6,Caucasian,Asian
0,7,6,29,8,7,7,6,6,8,Caucasian,Other
0,10,2,30,10,10,10,10,10,1,Other,Caucasian
0,6,6,30,8,8,9,6,9,5,Caucasian,Asian
0,7,6,32,7,7,6,5,5,5,Other,Asian
0,9,10,26,9,8,8,8,8,8,Asian,Caucasian
0,7,6,25,6,8,5,6,5,7,Caucasian,Caucasian
0,8,8,23,8,10,10,8,7,7,Caucasian,Asian
0,7,3,27,5,8,9,6,8,6,Asian,Caucasian
0,2,5,24,6,6,7,4,4,6,Asian,Caucasian
1,8,5,24,7,9,9,7,9,7,Asian,Black
0,7,8,36,7,9,8,8,8,6,Asian,Caucasian
0,5,1,25,5,10,10,10,10,5,Asian,Latino
1,8,7,24,8,9,8,8,9,7,Other,Asian
1,10,10,23,9,7,9,8,8,6,Caucasian,Asian
0,3,6,29,6,9,9,6,8,7,Caucasian,Asian
0,6,1,22,5,7,7,7,4,2,Asian,Other
1,6,6,32,7,7,6,6,6,6,Caucasian,Caucasian
1,8,10,22,9,6,10,9,8,8,Caucasian,Caucasian
0,6,6,24,7,7,7,8,5,5,Caucasian,Asian
0,6,5,23,6,7,6,8,5,4,Asian,Latino
0,8,8,23,7,10,6,7,6,0,Asian,Caucasian
1,7,8,23,5,8,7,7,6,6,Asian,Asian
0,9,8,24,7,9,8,10,6,5,Caucasian,Latino
1,8,8,30,8,7,7,9,6,6,Caucasian,Caucasian
0,6,6,30,6,6,7,8,10,1,Caucasian,Caucasian
0,7,3,30,2,10,8,10,2,4,Caucasian,Other
0,6,3,30,6,7,7,7,4,6,Caucasian,Caucasian
0,7,5,27,5,7,8,7,8,7,Black,Asian
